description,unit,rate,Unnamed: 3
"['Vitrified floor tiles: 
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with epoxy, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes.']",Sqft,200.2,
"['white cement layer
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: 
Laid over 30-50mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, etc.
Inclusive of tile (Base Rate Rs. 60/sqft), inclusive of taxes']",Sqft,196.0,
"['Skirting: 
Providing & fixing Vitrified tile of approved Colour, size and fixing in approved pattern: Flushed with wall level using cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the grooves with white cement and matching pigments. Inclusive of tile (Base Rate Rs. 60/sqft)']",Rft,134.4,
"['75mm high
Providing and fixing 12mm thick extruded aluminium skirting of approved make upto height to the plastic/aluminium clip modules fixed to the wall / partition as per manufacturer specification and direction of Engineer-In-Charge']",R.ft.,154.0,
"['100mm High Baux
Providing and fixing 12mm thick extruded aluminium skirting of approved make upto height to the plastic/aluminium clip modules fixed to the wall / partition as per manufacturer specification and direction of Engineer-In-Charge']",R.ft.,173.6,
['Transition Profile 30 mm Aluminium Flexi Flooring Profile (l-2800 mm) Black powdercoated (Code TPP044)'],Nos.,1705.6,
"['Vitrified/ Ceramic Wall Tile on raw plastered wall: Providing & fixing wall tile of approved Colour, size and fixing in approved pattern: Laid over 20mm (average) thick base of cement mortar 1:4 (1 cement: 4 coarse sand) including grouting the joints with white cement and matching pigments, skirting etc. Tile (Base Rate 50/-sqft) (600mm x 600mm)']",Sqft,200.2,
"['Vitrified/ Ceramic Wall Tile on GyprocH board: 
Providing & fixing wall tile of approved Colour, size and fixing in approved pattern:
Laid over Weberfix drywall, a 2 component high performance tile and stone adhesive, which can be used for almost all types of tiles*, over almost all types of substrates including green and moisture sensitive marble & agglomerates. Weberfix drywall is specially formulated, for fixing large format tiles & stones on drywalls and plywood. 
Tiles fixed using spacers. Gaps to be trated with grout amd white cement and matching pigment. Tile (Base Rate 70/-sqft)']",Sqft,249.2,
"['Italian Marble Flooring:
Providing  fixing Italian marble 18mm thick cut in sizes shape pattern laying base of 20mm thick mortar complete with Joints and grouting ,All joints grouted with matching pigments and design   including complete final polishing and protection (Base Rate-450/-sft)']",Sqft,1113.0,
"['POLISHING ITALIAN MARBLES:
1st step : CUTTING with ""0"" number blade,
2nd to 5th step : STONE POLISHING with ""2"" number blade to ""5"" number blade using
respectively with each step
6th step: POLISHING WITH ""6"" number blade with using TINOXIDE.']",Sqft,441.0,
"['Italian Marble Skirting:
Providing & fixing Italian marble 18mm thick cut in sizes shape pattern laying a base of 20mm thick mortar complete with Joints and grouting. All joints grouted with matching pigments and design including complete final polishing and protection (Base Rate-450/-sft)']",R.ft.,438.2,
"['Italian Marble Wall Cladding:
Providing  fixing Italian marble 18mm thick cut in sizes shape pattern laying base of 20mm thick mortar complete with Joints and grouting ,All joints grouted with matching pigments and design   including complete final polishing and protection       (Base Rate-450/-sft)']",Sqft,1141.0,
"['Kota stone for flooring: 
Providing & laying 20 mm to 25 mm thick kota stone of uniform Colour and shade in flooring, laid over 20mm thick base of cement mortar 1:4 (1 cement: 4 coarse sand) and jointed with gray cement slurry mixed with pigment to match the shade of the slab including machine cutting & rubbing  complete. (Base rate -30/- per sqft)']",Sqft,186.2,
['Kota Polish: Providing Tin Oxide polish on floor as per instructions of the architect in place of ordinary wax polishing.'],Sqft,72.8,
['Granite Polish: Providing Tin Oxide polish (Granite Polish) on floor as per instructions of the architect in place of ordinary wax polishing.'],sqft,79.8,
['Marble Polish: Providing marble polish with diamond polish and finishing. '],Sqft ,173.6,
"['Granite for staircase: 
Providing and laying of Granite (18 -20mm thick) on steps, floor , dado, wall top etc as per EIC  considering Locally available granite (approval of colour is required) by fixing / installation. All edges of stone needs to be ground to neat straight edged finish before fixing on slab / Lintel top. Care should be taken to seal all horizontal & vertical joints, neatly trimmed and not exceeding 5mm spread on either surface. (Base rate Rs. 150/sqft)']",Sqft,483.0,
"['Granite cladding: 
Granite cladding over walls using POP, clamps & necessary anchoring arrangement in required pattern in perfect line & level, including chemphering of edges, making required grooves like V- Shape etc. as per approved design / instructions of the architect, all complete. (Base rate Rs. 150/Sqft)']",Sqft,511.0,
"['Wooden Flooring: 
Supply and fixing of 8mm thk wooden flooring (AC5 grade) in desired shade. Make : Armstrong/Pergo. (Base rate- 140/sqft)']",Sqft,252.0,
"['ENGINEERED WOODEN FLOORING 
Providing and fixing Laminated wooden flooring AC-4 to be  fixed on 2mm thick foam backing etc completed as per drawing including protection layer till site handover. Price to include all additional accessories required for flooring termiantion like furniture or door profiles and transition profiles as required or applicable. 
Base Rate Rs. 400/sqft FOR SITE. ']",sqft,667.8,
"['Wooden Flooring beading : 
Supply and fixing wooden beading 22x6 mm (AC4 or AC5 grade) in desired shade. Make : Armstrong/Pergo. (Base rate- 100/- r.ft)']",R.ft.,175.0,
"['Carpet Flooring:
Providing & fixing  carpet tiles of 50*50 cm 100%  OLEFIN 8.5mm thick BCF base (as per approved design)  (Base Rate- 140/sqft)']",Sqft,253.4,
"['CARPET: Providing & fixing of nylon 6.6. fibre based anti- microbial sanitized carpet roll of 5.0mm thickness as per approved colour and shades by the Architects in all respect. Rates quoted should include cost of adhesives, fixing & protection of carpet etc complete as per drawing and as per approval of Architect. The carpet should be 100% washable and stain resistant. The carpet should be commercial grade of class33 and total weight of carpet should be 1.8kg/m2. Acoustical sound impact should be of 20dB. The product should carry 10 years warranty and allergy certificate. Installation should be done by authorized installer of company.
Base Rate: 140/-Sq-Ft)']",Sqft,253.4,
"['Vinyl Flooring:
VINYL FLOORING--Providing and laying of 2mm thick  vinyl tiles of approved quality and Colour, of Armstrong or equivalent make in areas as indicated in the detailed drawing. The  surface resistance shall be as per STP standards. The sample of the vinyl tile shall be approved by the Architect. Cost to include copper earthing strips at every 90cm spacing.']",Sqft,149.8,
"['ANTISTATIC Vinyl Flooring:
ANTISTATIC VINYL FLOORING--Providing and laying of 2mm thick anti-static vinyl tiles of approved quality and Colour, of Armstrong or equivalent make in areas as indicated in the detailed drawing. The anti-static surface resistance shall be as per STP standards. This shall also include providing copper grid work connected to the earthing as an additional connectivity to achieve anti-static properties. The sample of the anti-static vinyl tile shall be approved by the Architect. Cost to include copper earthing strips at every 90cm spacing.']",Sqft,217.0,
"['VINYL FLOORING: Providing and fixing Vinyl flooring of 2mm thick PVC flexible, homogeneous anti-static calendared compacted floor covering, minimum weight 3120g/m2 in minimum sheet of size 2mtrs. x20 mtrs. Approved pattern & colour combination with PUR Protect or equivalent surface treatment having wear minimum resistance of ÃÂ² 4.0mm 3 as per EN 660.2 and wear group as per EN 649 and should have a minimum residual indentation of < 0.03mm confirming to EN-433. The laid flooring should have non-directional design, colour dyed as a raw mixture to ensure even colour throughout the thickness and its surface should be densely compacted for improving wear and ease of maintenance with Anti-bacterial and Fungicidal properties. The laid flooring shall confirm the fire rating B1 class as per EN13501-1. The floor finish should terminate at the room perimeter passing over a concealed cove former and continuing up the wall for 100mm.The joints in the flooring should be sealed by using a PVC welding bar of matching colour to be supplied by the manufacturer, using a hot air gun for fusion of welding bar with flooring and self-levelling required underneath with all accessories etc.
(Basic Rate Rs.150/- Sq-ft)']",Sqft,231.0,
"['ACCESS FLOOR: (LAMINATED TILES): Providing and fixing of 300 mm high (height may vary accourding to site situation), 600x600mm access floor panels. The raised floor panels to be faced with anti static laminate on top. The jacks to be adjustable, corrosion resistant in galvanized steel. ']",Sqft,453.6,
['Partition (only frame): Providing & fixing frame work of 50mm x 50mm section of Aluminium frame at a grid of 600mm and adequately fixing on floor & wall. For 75mm thick partition.'],Sqft,247.0,
['Partition (only frame): Providing & fixing GI framework @ 600 mm c/c both ways. For 75 mm thick full height partition. Fixed to floor & RCC roof with screw. '],Sqft,84.5,
['Partition (only frame): Providing & fixing 100 mm thick providing and fixing full height 100mm thick partition with GI framework @ 600 mm c/c both ways. Fixed to floor & RCC roof with screw. '],Sqft,149.5,
"['Laminated cladding : Supply & installtion of laminated partition with 12 mm thick plywood/ MDF of approved make & 1mm thick laminate on the surface, laminated with all due care for fine finishing in desired areas. All joints to be finished with paint or polish, Both side to be measured seprataly. Laminate baseÃÂrate @ 1200/- per sheet of size 2400x1200mm
']",Sqft,244.4,
"['Veneered cladding Melamine Polished: 
Providing & fixing 12 mm thick plywood with 4 mm veneer on one side. Melamine polished. (Both side to be measured seprataly). Venner base rate @ 100/- per sq.ft. ']",Sqft,325.0,
"['Veneered cladding PU Polished: 
Providing & fixing 12 mm thick plywood with 4 mm veneer on one side. PU polished. (Both side to be measured seprataly). Venner base rate @ 100/- per sq.ft. ']",Sqft,533.0,
"['Gypsum cladding: Providing and fixing full height single layer 12.5mm thick gypsum board. Jointing and taping on all joints with fiber tape, cut-outs for electrical sockets/switches and conduits etc. Section of size: Periphery 50 mm, 48 mm studs, 12.5 board . USG/Gyproc/ Westen (Both side to be measured seprataly)']",Sqft,45.5,
"['Accoustic (Rock Wool) : 
 Providing and fixing rock wool of 48Kg/m3 density, vertically and horizontally fixed firmly . ']",Sqft,32.5,
"['Curved glass Partition: Supply of Modular Aluminium single glazed partitioning frame make 45mm System, using OT 45.02 (45mm x 20mm) as vertical channel, wall starter, top horizontal with OT 45.05 + OT 45.06 (45mm x 20mm) bottom channel for 10/12mm toughened curved  glass and acoustic gasket as per specification. Finish - Natural Anodised Finish']",Sqft,1105.0,
"['toughened clear glass Partition: Supply of Modular Aluminium single glazed partitioning frame make 45mm System, using OT 45.02 (45mm x 20mm) as vertical channel, wall starter, top horizontal with OT 45.05 + OT 45.06 (45mm x 20mm) bottom channel for 10/12mm toughened clear  glass and acoustic gasket as per specification. Finish - Natural Anodised Finish']",Sqft,762.0,
"['Slimline glass partition: single glazed partitioning frame of 45mm System, using OT 45.02 (45mm x 20mm) as vertical channel, wall starter, top horizontal with OT 45.05 + OT 45.06 (45mm x 20mm) bottom channel for 10 toughened glass and acoustic gasket as per specification. Finish: Natural Anodised Finish']",Sqft,585.0,
"['Slimline glass partition: single glazed partitioning frame of 45mm System, using OT 45.02 (45mm x 20mm) as vertical channel, wall starter, top horizontal with OT 45.05 + OT 45.06 (45mm x 20mm) bottom channel for 10 toughened glass and acoustic gasket as per specification. Finish: Black Powdercoated']",Sqft,650.0,
"['Slimline glass partition: single glazed partitioning frame of 45mm System, using OT 45.02 (45mm x 20mm) as vertical channel, wall starter, top horizontal with OT 45.05 + OT 45.06 (45mm x 20mm) bottom channel for 10 toughened glass and acoustic gasket as per specification. Finish: Black Anodised']",Sqft,650.0,
['SUPPLY OF FULL HEIGHT SINGLE GLASS PARTITIONS section at 2400 MM to 2900 mm (H) to accommodate 10mm thick tempered glass glazing with ALKOM 45x25 mm section in ceiling & flooring in combination ALN 45.05+ALN 45.06 and on verticals will be ALN 45.02 with wedges /rubber gasket. All as per approved design. Make Alloy/ALKOM'],Sqft,910.0,
"['Washroom Modular Partition/Laminated Toilet Partition/Cubicle : 
Providing and fixing modular WC partition with necessary fitting make (Merino/Greenlam/Cubix) as per design.
Restroom Cubicle with standard Height of 2100 Height (150 open from bottom) which includes 600/700mm door size width). COMPACT LAMINATE: 12mm Compact Laminate made as per IS 2046 (Indian Standard) and as per fire retardant BS_476/97 standard. The solid compact laminate (Phenolic Core Board) is based on thermostatic resin, homogeneously reinforced with cellulose fiber and laminate on both side with suede finish, scratch and impact resistant, to achieve the cubicles dimensions joint_less partitions. The cubicle system will be equipped with heat and bacteria resistance, to supply and install Restroom System complete with Stainless Steel Accessories. Top rail is extruded Aluminum will be powder coated or anodized (Grade 6063 Micron Aluminum). The modular shall possess 100% resistant properties towards: Water, chemical, impact. ACCESSORIES: will be in SS 316/304 Grade 
a) Epoxy Powder coated Aluminum Top Rail in SS Mill Finish
b) SS 304 Grade Hinges ÃÂ Gravity to close
c) SS Latch cum Ocuupancy Indicator (SS 304 with Satin Finish)
d) SS 304 Grade Coat Hook,
e) SS Palm Design Adjustable Foot (SS Grade 304 with Satin Finish)
f) 6063 Micron Aluminum ÃÂUÃÂ channel
g) Epoxy Power Coated Aluminum Door Stopper channel
h) Rubber Door Stopper Lining
i) Screws & Wall Plugs
HARDWARE & FIXING: All screws will of 304 Grade in stainless steel with satin finish. All pilasters are supported by SS pedestal footing with non-corrosive steel inserts. The base diameter 65mm and neck diameter of 33mm anchored to the floor with grade 304 satin finish stainless steel screws with push fit capping at a clearance height of 150mm. Heat and Bacteria Resistant Polyamide in which right angle bracket or aluminum U_Channel will be used for the fixing of intermediate panels to the wall. Provide SS legs, wall angles and cleats to secure the partition to floor and walls, with provision of continuous top rail in SS 304 of box type construction to support the partition. Handle _ alloy thumb turn.']",Nos.,39000.0,
"['Cubix Center and front 1200 width, 1500 depth L-shape
 Providing and fixing modular WC partition with necessary fitting make (Merino/Greenlam/Cubix) as per design.
']",Nos.,31200.0,
"['Cubix only front 1200 width, 1500 depth I-shape
Providing and fixing modular WC partition with necessary fitting make (Merino/Greenlam/Cubix) as per design.']",Nos.,20800.0,
"['Dry wall partition : Supply and installation of dry wall partition 80mm thick. Make - Everest
Providing and fixing modular WC partition with necessary fitting make (Merino/Greenlam/Cubix) as per design.']",Sqft,162.5,
['Aluminium partition : Supply and installation of aluminium partition with 6mm thick toughened glass. Section will be powder coated. The action size will be 63x38mm'],Sqft,455.0,
['Fire rated (2 hour rating) Gyproc partition system with certification'],Sqft,350.0,
"['Puf panel partition : 
Supply and installation of 60mm thick puf panel partition with using of GI ""U"" chanel in bottom and top. 
Density - 40ÃÂ±2kg/m_, Fire resistant, Closed cell content -92-95%']",Sqft,240.5,
"['Bison board cladding: 
Supply and installation of one side 8mm thick bison board.
Bison board will be everest make (Both sides measurement will be seprately)']",Sqft,110.5,
['10 mm aluminium hat profile Black powdercoated (code DPP059 Bottomline) STandard length 2800 mm'],Nos.,637.0,
['Supply and application of POP punning to a thickness of 6-8 mm. Application after cleaning the wall surface to get a seamless finish. Application to be done as per manufacturers' specifications etc. all complete.'],Sqft ,29.9,
"['Wall paint: 
Supply and application of  washable interior grade  Dulux/Asian paints 3-in-1 plastic emulsion paint on walls with 1 coat of wall primer and 2 or more coats of plastic emulsion paint as per manufacturer's specifications etc. all complete. All painting final coats to be done after removal of face plates of switch boards in coordination with the electrical contractor and face plates to be fixed only after satisfactory completion of painting.']",Sqft ,28.6,
"['Texture Paint: 
The surface shall be free from dust, dirt, grease and other foreign matter and shall be smooth by sand papering. Also it includes cleaning and preparing the surface, punning and puttying as per manufacturer's specifications.']",Sqft ,91.0,
"['OBD Paint: 
Providing & applying of oil bound distemper paint on walls of approved finish.']",Sqft ,26.0,
"['Velvet touch paint work:
Providing & applying of  washable velvet touch paint on walls with 1 coat of wall primer and 2 or more coats of paint as per manufacturer's specifications etc. all complete. All painting final coats to be done after removal of face plates of switch boards in coordination with the electrical contractor and face plates to be fixed only after satisfactory completion of painting.']",Sqft ,37.7,
"['Duco paint: 
Providing & applying duco paint with make surface and applying primer coat. Fill up all smalll and big holes. Sanding, cleaning of surface. Sprayed by a spray gun.']",Sqft ,156.0,
"['Melamine polish: 
Providing & applying melamine polish with make surface and applying primer coat. Sanding, cleaning of surface. Fill up all smalll and big holes. Sanding, cleaning of surface. Sprayed by a spray gun.']",Sqft ,260.0,
"['Fire Rated Paints: 
To prepare & finish the wall and partition  with fire rated paint of approved quality & shade by sand papering the surface, applying one coat of primer, prepare the surface with two coats of full putty, sand papering again, repeating a coat of primer, applying one coat of paint, touching up with putty & applying two final roller coats of fire rated paint, to internal wall, partition/roof slab masonry concrete surfaces incl. preparing the surface by cleaning scrapping, smooth filling crevices, scaffolding etc.']",Sqft ,78.0,
"['ENAMEL PAINT (SATIN FINISH): 
Providing and applying enamel paint to Wooden surface, gypsum walls, POP puning, Gypsum ceiling and existing plastered ceiling, including paint putty, base coat as pre manufacturers recommendations and finishing with 2/3 coats of plastic / acrylic emulsion paint of approved color and make. Surface coating to be achieved as per manufacturerÃÂs recommendations for coverage of paint. Make : ICI PAINTS']",Sqft ,29.9,
"['Wall paper: 
Application of wall paper as per approved sample. Rate to include surface preparation and application as per manufacturers standards. (Basic Rate Rs.100/- sqft)']",Sqft ,196.3,
"['Plain/ simple
Providing and fixing '3M / LG' or equivalent make film on glass surfaces (Surface area covered shall be measured and paid for)']",Sqft ,150.0,
"['Design & pattern with figures / pattern 
Providing and fixing '3M / LG' or equivalent make film on glass surfaces (Surface area covered shall be measured and paid for)']",Sqft ,175.0,
"['3M writing film
Providing and fixing '3M / LG' or equivalent make film on glass surfaces (Surface area covered shall be measured and paid for)']",Sqft ,400.0,
"['PVC Frosted film Graphics 
Providing and fixing '3M / LG' or equivalent make film on glass surfaces (Surface area covered shall be measured and paid for)']",Sqft ,250.0,
"['Fluted glass film
Providing and fixing '3M / LG' or equivalent make film on glass surfaces (Surface area covered shall be measured and paid for)']",Sqft ,250.0,
"['Doors of size (900mm x 2100mm)
With 2Hour Fire rated door,  including SS Ball Bearing Hinges,  Door closer, D handle, Dead lock,Vision pane (200 x 300mm),  
and fastners and endcap.']",Nos.,80000.0,
"['Doors of size (1200 mm x 2100mm) 
With 2Hour Fire rated door,  including SS Ball Bearing Hinges,  Door closer, D handle, Dead lock,Vision pane (200 x 300mm),  
and fastners and endcap.']",Nos.,95000.0,
"['Size:-1200x2400mm-Single Leaf 
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,19468.8,
"['Supply of SS Ball Bearing Hinges(04nos par leaf) -Dorma
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,416.0,
"['Supply of  Dead Lock- Dorma XLC
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,3250.0,
"['Supply of  SS D-Type Handle 300x22mm - Dorma
Supply of Power Coated Door galvanized steel Flush Fire doors two hours fire rating and tested in accordance with IS 3614 Part 2, & BS 476 Part 22: 120 minutes Integrity, 120 minutes Stability & 20 minutes Insulation tested by HR Govt. Door frames to be single rebate profile of 100 x 57 mm manufactured from 16 gauge galvanized steel, profile to have bending radius of 1.4 mm supplied in assembled form ready to install at site Door Shutter in 46 mm thick manufactured from two 18 gauge galvanized steel sheets lock seam jointed at stile edges to form a double skin fully flush shell. Infill rock wool 96kg/m3 density or  honey comb insulation material to be provided for structural rigidity & additional reinforcements & sound Insulation for all hardware fixtures as required. Make Om Shakti']",Nos,2470.0,
